run,expression,n_vectors,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,sd
10_100,parallelDist_1,40,6.841891445219517e-5,7.446995005011559e-5,12082.816243654137,9840,12.094911154808946,999,1,0.08267940022051334,2.2630084886742568e-4
10_100,parallelDist_8,40,6.623391527682543e-5,8.234952110797167e-5,11525.148187599558,9840,0,1000,0,0.08676678023766726,1.3000450648903313e-5
10_100,stats,50,2.1030509378761053e-4,2.1620560437440872e-4,4544.673021293436,9848,0,1000,0,0.22003783227410167,1.8118400119863787e-5
10_100,proxy,50,4.22412995249033e-4,4.5231898548081517e-4,2095.7216084605825,32352,4.199842902726618,998,2,0.47620828833896667,2.627924000761864e-4
10_100,proxyC,50,5.57837076485157e-4,5.921861156821251e-4,1638.0091526293074,150856,3.282583472203021,998,2,0.6092762048356235,2.700823354003891e-4
10_100,distances,50,3.780086990445852e-5,4.359101876616478e-5,19935.197245506384,70192,19.95515239790429,999,1,0.050112370983697474,1.8802084335580425e-4
10_100,distances_matrix,50,1.0545807890594006e-4,1.1545710731297731e-4,7639.66466530245,180296,22.9879578695159,997,3,0.13050311023835093,2.940061937015207e-4
10_100,Rfast,50,2.7091009542346e-5,3.1359028071165085e-5,31457.421146579258,42648,31.488910056635895,999,1,0.03175721224397421,1.6077698419231384e-4
10_100,rcpp_serial,50,3.441388253122568e-5,3.6227982491254807e-5,27059.74006978102,22600,0,1000,0,0.03695526998490095,4.655763809664762e-6
10_100,rcpp_parallel_8,50,9.077019058167934e-6,1.2011965736746788e-5,62083.30736919952,22600,62.14545282202154,999,1,0.0160912818973884,1.6310791831075592e-4
10_100,fortran_serial,50,4.5726075768470764e-5,5.321006756275892e-5,17695.233854111062,60144,17.712946800911975,999,1,0.05645588005427271,1.728974864685268e-4
10_100,fortran_parallel_8,50,4.654703661799431e-5,5.319016054272652e-5,16586.534701669872,60144,16.60313783950938,999,1,0.06022957887034863,1.3698341340978343e-4
10_100,c_fortran_serial,50,3.463495522737503e-5,3.621296491473913e-5,26062.612483860703,0,0,1000,0,0.03836913895793259,5.104549519308497e-6
10_100,c_fortran_parallel_8,50,3.514590207487345e-5,3.694900078698993e-5,24970.45119071006,0,0,1000,0,0.04004733404144645,1.1208454473020474e-5
10_100,GPUmatrix,50,4.7579105012118816e-4,5.135530373081565e-4,1890.1496917061147,23296,1.8920417334395543,999,1,0.528529567993246,3.3618661667460747e-4
10_100,parallelDist_1,50,1.0523712262511253e-4,1.1096813250333071e-4,8327.10823369965,13400,8.335443677377027,999,1,0.11996961873956025,7.470665231436963e-4
10_100,parallelDist_8,50,7.228599861264229e-5,1.1519610416144133e-4,9173.081490553841,13400,0,1000,0,0.1090146207716316,2.1233822286343598e-5
